"도시별","지출목적별","시점","소비자물가지수[기준년도 2020년]",
"전국","12 기타 상품 및 서비스","2001 년","58.299",
"전국","12 기타 상품 및 서비스","2002 년","60.219",
"전국","12 기타 상품 및 서비스","2003 년","61.728",
"전국","12 기타 상품 및 서비스","2004 년","62.975",
"전국","12 기타 상품 및 서비스","2005 년","63.877",
"전국","12 기타 상품 및 서비스","2006 년","67.198",
"전국","12 기타 상품 및 서비스","2007 년","70.514",
"전국","12 기타 상품 및 서비스","2008 년","76.876",
"전국","12 기타 상품 및 서비스","2009 년","82.14",
"전국","12 기타 상품 및 서비스","2010 년","85.027",
"전국","12 기타 상품 및 서비스","2011 년","87.776",
"전국","12 기타 상품 및 서비스","2012 년","84.908",
"전국","12 기타 상품 및 서비스","2013 년","85.302",
"전국","12 기타 상품 및 서비스","2014 년","87.932",
"전국","12 기타 상품 및 서비스","2015 년","90.271",
"전국","12 기타 상품 및 서비스","2016 년","93.378",
"전국","12 기타 상품 및 서비스","2017 년","95.967",
"전국","12 기타 상품 및 서비스","2018 년","96.533",
"전국","12 기타 상품 및 서비스","2019 년","98.082",
"전국","12 기타 상품 및 서비스","2020 년","100",
"전국","12 기타 상품 및 서비스","2021 년","102",
"전국","12 기타 상품 및 서비스","2022 년","108.27",
"전국","12 기타 상품 및 서비스","2023 년","114.56",
"서울특별시","0 총지수","1975 년","9.403",
"서울특별시","0 총지수","1976 년","10.854",
"서울특별시","0 총지수","1977 년","11.967",
"서울특별시","0 총지수","1978 년","13.684",
"서울특별시","0 총지수","1979 년","16.158",
"서울특별시","0 총지수","1980 년","20.782",
"서울특별시","0 총지수","1981 년","25.208",
"서울특별시","0 총지수","1982 년","27.061",
"서울특별시","0 총지수","1983 년","28.013",
"서울특별시","0 총지수","1984 년","28.627",
"서울특별시","0 총지수","1985 년","29.336",
"서울특별시","0 총지수","1986 년","30.116",
"서울특별시","0 총지수","1987 년","31.123",
"서울특별시","0 총지수","1988 년","33.255",
"서울특별시","0 총지수","1989 년","35.11",
"서울특별시","0 총지수","1990 년","38.225",
"서울특별시","0 총지수","1991 년","41.948",
"서울특별시","0 총지수","1992 년","44.319",
"서울특별시","0 총지수","1993 년","46.517",
"서울특별시","0 총지수","1994 년","49.323",
"서울특별시","0 총지수","1995 년","51.234",
"서울특별시","0 총지수","1996 년","53.403",
"서울특별시","0 총지수","1997 년","55.653",
"서울특별시","0 총지수","1998 년","59.803",
"서울특별시","0 총지수","1999 년","60.298",
"서울특별시","0 총지수","2000 년","61.828",
"서울특별시","0 총지수","2001 년","64.512",
"서울특별시","0 총지수","2002 년","66.64",
"서울특별시","0 총지수","2003 년","69.18",
"서울특별시","0 총지수","2004 년","71.874",
"서울특별시","0 총지수","2005 년","73.755",
"서울특별시","0 총지수","2006 년","75.279",
"서울특별시","0 총지수","2007 년","77.252",
"서울특별시","0 총지수","2008 년","80.466",
"서울특별시","0 총지수","2009 년","82.838",
"서울특별시","0 총지수","2010 년","85.162",
"서울특별시","0 총지수","2011 년","88.412",
"서울특별시","0 총지수","2012 년","90.605",
"서울특별시","0 총지수","2013 년","91.869",
